mtime,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
None,92146,446544,94883,51791,361674,488578,151908,496099,466776,244031,180391,418616,438787,469582,195096,473726,70320,393587,290989,32383,417254,280929,470375
None,343617,428642,203158,90280,383935,211201,187651,406976,41422,406491,453549,478362,488238,443373,433704,57354,296154,34340,442386,372992,454306,416186,437358
None,221514,269398,372335,307103,237903,99507,244801,479743,317721,478473,86213,231718,48633,46452,124723,192452,481296,52977,285135,66987,124557,101024,290855
None,335554,82910,31997,479399,150812,461493,227863,132297,437160,290404,408705,445867,492541,151675,115491,367728,48259,175581,484379,133672,441202,241389,111242
None,187346,315604,155417,128154,117947,344067,499720,119040,47242,256170,282327,260434,300686,41390,93640,367155,208509,42506,79530,482030,129810,227970,481192
None,283253,199150,341113,121533,37364,445910,384914,339213,385307,347323,67105,84342,385235,187493,198001,265268,434645,256202,250231,49688,355440,13945,221438
None,399783,150219,452098,40166,323786,321464,353712,462149,441953,181063,373464,283328,214329,252868,370533,486564,266437,245463,303284,142265,388849,475371,219917
None,455272,297438,79158,463068,277375,381767,97093,286518,11345,330716,319692,342504,22270,75507,462362,388363,495295,138894,493688,232015,177874,120636,339694
None,201163,257646,129790,29933,232364,456387,113344,32368,97427,116480,461343,235504,372346,266735,117609,179691,377088,194498,290274,279431,145261,419247,430726
None,357394,98131,421152,462040,356835,314651,2522,208224,7361,305992,5958,82282,127544,251501,32432,363875,309333,147068,329739,355909,376420,179942,420045
None,150188,320874,336944,106246,191370,332951,235544,330960,100586,391241,81081,429164,433981,466708,453982,344735,299684,57961,3509,240543,8858,194034,487731
None,329016,300435,358159,315874,475581,374051,333736,450610,407156,319735,201333,426960,243868,262370,285790,159716,78769,288620,460875,52504,148741,50683,261123
None,59820,482758,474309,355652,66568,286699,86262,185159,88708,481984,15636,68296,397272,94325,494205,196445,381341,220540,467033,178996,379634,435222,361491
None,265542,263750,207666,42468,462286,34423,193327,175907,457680,433450,155141,470028,201905,21206,431466,224792,489871,448812,443792,385570,152434,278539,387386
None,276030,172107,43363,186236,22169,85839,252717,473639,438187,323560,395290,294465,73075,289978,172220,62300,209790,446733,186145,68105,64623,495851,335713
None,375655,185212,361380,272426,92691,66912,295845,88136,476618,127049,397022,415572,205799,342254,277750,206256,467063,409829,332501,304624,41422,410873,321791
None,87778,346433,61754,173028,394372,166278,149911,486086,389801,154949,178496,490061,349148,387119,349965,118095,73605,231800,226378,238950,154914,271118,400555
None,77966,148097,218226,164998,282834,266187,202881,117750,50911,455243,365562,378564,192929,246697,461614,403473,323864,36515,276330,386132,39793,484317,348611
None,205458,57384,329984,419003,143300,103945,384526,355355,390038,295564,230764,4483,276758,419215,78262,92288,213663,248375,27640,447530,253909,103231,27174
None,112170,167861,223218,348684,393419,380017,266506,257185,391660,334437,361658,380862,260357,130822,131111,263512,139241,250903,458899,328811,120564,361825,401408
None,249738,127928,127230,52111,499400,347993,97383,241867,414236,377273,303950,318662,166098,400319,216141,63823,400884,62403,409726,392754,493723,65225,57438
None,178234,110247,188236,203660,125781,377411,483734,366197,129368,357532,353589,254752,71818,283224,215574,376542,355127,51460,52246,44501,417470,362348,225812
None,273345,432099,96479,432453,369281,54112,411708,164447,450934,116727,63406,9941,324781,172338,137509,353598,294318,237458,480729,92528,20860,228561,497669
None,135892,230984,319330,206250,63109,228668,320617,299089,489019,320413,367956,401366,395940,7060,110625,276740,372038,430191,357092,466455,298433,365180,190833
None,149072,494977,457668,206747,369948,382151,211346,236713,363362,148141,451866,496787,460852,143742,484130,383293,85565,11879,321982,442104,250995,444663,375133
None,208833,361336,148283,409474,118390,326882,358750,174784,416161,24431,61029,445438,155829,23062,342040,185580,97618,196711,196513,429500,280412,133605,53586
None,150832,369107,167328,279156,306052,28221,34019,454205,349253,224106,124923,473044,317478,439278,251826,104704,68107,373475,117286,101876,370816,79321,150786
None,397815,82521,140081,88964,366638,387680,415832,394297,149885,327115,208565,474039,72074,88761,242933,99288,310754,492579,397905,251205,399210,420647,277346
None,291151,37681,135759,108221,155065,92036,175518,463197,322797,389584,135502,308792,197616,137827,466945,291170,185409,15322,323656,32446,257741,105329,117859
None,305630,119721,220943,121390,70985,278405,269768,436721,269821,29803,272562,93325,358212,12608,10337,19880,140361,194607,150965,13844,195722,286574,256076
None,112072,394069,206207,318197,418865,97375,196859,265109,285688,145017,445695,428857,331213,232841,101018,473305,365882,422384,19239,153171,105026,7115,439848
None,258835,66803,21033,481606,123733,393400,283932,309442,82475,154767,184494,354826,35802,389300,255186,58349,412592,345458,329201,425005,280487,279907,392604
None,480003,309593,60571,439406,43822,231661,406425,386427,412018,176807,379264,274977,488400,365851,339411,143094,351232,74604,57495,260869,126684,459552,468625
None,71747,372894,172613,343517,132034,425417,416882,88026,296227,115884,408689,72113,24468,342714,30652,251628,14516,139846,154860,150526,134899,233382,125979
None,95210,309996,435205,385950,360031,202931,172514,354908,212478,155119,308086,197750,132383,114845,341209,383830,357206,147588,329380,101756,120401,304776,332859
None,390123,72514,334452,349848,221352,374890,114670,326236,425212,160708,160005,9181,112040,143477,416512,16830,456843,488515,178051,373936,487328,299504,67718
None,243403,287389,209559,454617,98546,60977,46167,482783,8887,309456,174504,252939,262324,64434,89471,233934,400452,481475,435898,479077,97461,252277,172656
None,476102,482433,86761,276268,100513,61025,174033,141978,287991,248751,301841,475173,205338,71374,761,388647,302108,490812,334399,309290,289911,135583,200684
None,10865,329379,84298,254523,281679,186748,133596,172185,146127,275072,443561,40541,377750,321378,73895,88600,111074,202442,248082,81606,296650,471908,360565
None,227332,438967,349938,226851,73635,1304,130602,243588,31252,222404,306997,153556,330126,367451,13338,481750,65624,61550,310647,242474,331689,473791,311190
None,495484,495596,474808,424959,252717,377084,292250,384067,352179,446299,440489,411505,297098,231759,280303,40490,276440,496746,63695,8549,371024,97898,159683
None,43210,229929,99908,423845,136737,348566,463818,179171,472967,465991,239015,332533,326903,90511,29206,317129,479464,450610,279059,476625,254607,409412,471257
None,226937,310188,457365,463839,193956,175921,309423,129174,322625,75305,149112,10576,185610,419735,487999,260400,388702,490256,446745,165616,257018,402012,76992
None,195885,258886,492028,249433,58110,60281,15436,28868,406116,202104,361303,118447,317312,35729,494164,70405,481075,8182,270847,288870,329318,346383,307427
None,442967,88926,399283,350867,55752,252791,333339,66461,141143,364713,232120,452704,292641,318441,71907,116812,28825,237177,287115,309330,98171,421196,274739
None,69478,483047,108299,37935,192379,322690,36102,28856,273177,185740,461466,73909,204082,382977,133610,246155,221822,468717,435597,363714,456811,5443,31767
None,469006,428856,331861,437739,408507,162593,419501,71589,425550,265840,380788,185099,59518,494739,286959,44063,257201,162838,362800,164012,361509,43213,295621
None,339949,128058,428117,129806,19257,362436,19723,98309,191111,308992,164966,9164,482618,22041,12069,94772,91247,79319,445216,162698,475475,38310,201315
None,242944,346315,138530,231762,122652,93664,45817,300008,320075,182345,268669,14442,297075,432998,372956,161305,269403,14496,218558,57932,431358,316868,432839
None,290835,215288,200801,84966,448969,349152,297915,218120,307700,264296,21600,372254,223294,198313,256990,394860,89604,324596,427400,274155,193581,208895,166373
None,202721,475595,171937,69202,10985,448975,20871,275858,238907,16135,211699,236939,428010,222048,475214,471604,52983,394742,361982,63369,327164,114506,124654
None,22493,66460,362600,340039,220235,233816,1719,394130,467417,4311,438982,254893,271688,49247,186324,449822,463214,173868,323461,264183,149237,191382,439734
None,202864,328708,359416,331556,76707,124213,261373,153888,290944,222962,2897,21433,145102,222660,106728,184215,27609,182460,388809,98827,216456,396481,22030
None,450068,438187,321966,90472,290369,186810,277167,333205,384601,15962,182549,475197,111112,101599,30654,160502,425133,227424,201614,150074,361051,192163,344201
None,133691,123943,326816,131064,477108,115879,381665,63153,56544,342691,63917,27363,371051,74376,202801,139964,414162,38652,361531,366817,465941,354007,319431
None,191454,332682,278721,16984,261212,359205,184804,414341,378747,151101,285530,294948,278761,118158,185305,443700,270877,193592,328473,381049,261192,251005,303227
None,263858,250666,189300,111178,437411,163677,387721,255747,162594,294339,495207,113278,338758,111828,477324,146577,427496,345583,130369,205771,377737,92401,316022
None,139268,357045,27927,275696,150210,469905,358165,42867,64329,129281,117121,417877,239726,18472,245209,201354,46047,364323,71710,248296,112113,159034,84215
None,425881,356793,288797,67805,411455,112869,416159,481671,328727,100383,303910,328955,492416,161442,190654,216918,233617,109652,186706,165009,124337,144252,374803
None,353118,430839,14248,307555,249585,346047,266248,154719,425270,405777,436315,455063,56864,163814,344099,336816,401474,355372,13956,417478,479993,96723,83118
None,306727,462796,242253,141836,278873,367316,288211,27114,182871,154595,273369,128631,407598,42350,102964,280885,84858,284819,11882,6701,488214,81085,126565
None,429549,140920,340192,252571,293483,157792,117996,87853,48031,71559,33027,393015,372683,198195,51988,442558,309830,493908,231260,231760,201315,325074,244038
None,79583,176142,241311,458551,450393,42730,65339,101042,256918,345588,144807,241890,111805,113182,491862,161135,53886,382422,450407,12510,130138,62519,466696
None,103904,479929,289812,445778,49952,102827,3785,471265,170416,223828,177503,129849,417030,447137,446412,82241,163407,497610,382035,44882,488735,268303,316275
None,170564,453841,359967,214581,477562,388837,427971,386757,335071,290471,449279,157873,382703,408887,76052,313722,467108,11100,472263,31913,85738,296923,438881
None,406210,394830,208937,61958,89966,9685,474912,68890,66874,372809,115595,118170,358517,337729,191458,320074,233196,2486,104906,138701,222232,218066,134288
None,272749,220137,471472,47646,234101,292920,394534,100782,323834,384636,434122,198842,430456,47106,411543,453020,101952,108484,19793,2153,32272,488412,245663
None,122336,288110,235646,296148,33253,39246,422986,88769,124279,109682,440319,207720,160991,286782,207362,293096,66657,288776,256504,79404,51294,307637,360320
None,216150,121390,465022,441251,247605,68612,39393,307285,288672,386358,84826,58955,397517,470761,84110,326689,69093,126327,156438,165483,132471,405622,45832
None,102329,245585,200324,110927,245014,452706,135645,348677,450390,84774,493929,372298,6508,135554,402667,493448,76610,112157,414157,45139,329807,247870,454738
None,372669,198197,436747,429934,191314,296609,227718,161977,468325,85303,137314,165631,388093,39528,93099,301252,95652,369995,479635,401836,225795,66376,285493
None,400491,263661,189732,480492,353799,333090,361755,395827,241177,331853,445303,141239,254314,332482,328200,31827,133308,50582,392038,477576,295016,68171,92177
None,232496,151178,104042,33240,496384,113168,201790,446411,451030,438451,385929,32248,399023,417023,151914,458147,270200,233283,454465,366707,244617,466583,134940
None,145288,345525,131775,83756,402416,91978,340328,357001,342735,418808,234098,347437,331092,106009,242661,256629,30549,210663,192305,286748,441502,484251,368090
None,464378,206267,240391,99084,197012,89470,55943,248231,123375,80130,164368,410881,178525,362905,138285,55192,195000,141974,74933,22104,321690,375618,177025
None,173200,460432,408386,296527,392310,127745,125573,414705,461801,362261,302778,453284,155693,374858,483537,53346,16557,11006,225177,303855,244744,224622,39720
None,283082,251279,86093,415416,151760,243094,317745,386963,373925,39055,8054,430038,242253,279708,242830,417070,430416,477330,344599,466067,269610,435593,23099
None,241189,219770,23005,379034,378465,215730,107446,104506,276232,334691,166609,37628,332077,328842,347975,76020,366472,497682,403754,130700,347325,256232,424283
None,115650,196592,437767,456028,458489,124742,358317,128368,333597,213931,123039,353092,414617,46033,327361,387009,250542,490,458248,163957,297759,348435,6867
None,403843,434756,358891,46732,83990,132309,58215,173983,307435,120659,470605,407884,690,405689,101762,86035,18672,162867,239396,303242,332604,132070,453875
None,260009,370211,491715,393454,260720,400871,217682,338322,405909,241814,9756,385121,137804,193619,186309,132757,148195,322402,11974,93050,487981,124475,126342
None,191692,367962,190374,456892,215559,260497,395047,201983,11665,209119,436203,171088,250691,290135,173369,219124,423550,388607,448193,108168,479679,416065,397587
None,371384,406115,313397,345387,396623,420606,323683,222833,414168,189784,208304,394232,395532,63388,44444,294774,401806,474063,66709,450581,75497,196324,82232
None,24860,159012,170370,133756,125375,225175,457879,373587,57407,78309,250701,180446,299910,232687,360707,21727,40084,358123,432097,238853,309794,191519,33527
None,225757,214968,318613,321142,284146,306179,119891,329452,260699,32192,346646,50966,188177,132081,206510,243280,365960,166409,332320,196585,409553,109820,385333
None,407204,427538,9267,214116,214240,288543,1803,256536,339271,82223,323597,29534,170657,464083,279430,320114,373276,175361,228473,461263,253921,218415,172734
None,199166,460245,402814,275308,130817,44943,140683,346689,340631,155302,217264,290331,178267,46013,43264,327332,140388,472004,17390,302694,444587,416495,187840
None,462600,92719,170500,435433,28802,78936,353970,462810,269717,54616,260235,165622,103233,401403,114570,452739,466449,261951,310793,15462,59449,83667,35560
None,440629,243019,7783,25316,211463,286091,253112,359807,468412,60990,125870,493228,296823,143239,16120,432759,167493,434643,188917,223400,25239,304367,195106
None,260752,348964,411131,272764,419907,200302,422459,213126,55171,233115,492421,3358,174800,203686,350290,27497,251069,252644,131268,236622,258634,242245,412454
None,396887,453965,131978,227043,317981,35656,151509,476031,322451,440665,367224,312668,219253,180916,287183,143411,343536,215100,78012,408564,130988,7495,307911
None,195774,354929,80875,134308,290173,155338,260708,51771,251287,342619,290525,55569,101159,274663,280213,313584,418824,452001,175197,67001,390287,89938,441383
None,438448,357000,96219,479371,406986,362424,66014,442373,39611,58477,45157,387409,171421,66154,159616,237680,433771,255619,154661,379005,341784,239061,148682
None,115498,467256,41344,331702,468382,87740,229550,404136,196116,302600,77169,418,78128,448765,35094,75845,136876,30208,81093,46717,324278,446230,175680
None,430038,337884,455695,379650,225031,344237,22248,43350,343285,345010,474708,33145,186436,194567,318807,104117,294576,481708,356069,229975,238764,391014,132507
None,148644,488967,12210,492450,413052,56667,109422,467106,345823,442790,232016,460394,469930,166431,248073,443494,335850,155650,319813,86090,253198,498809,245084
None,57928,100235,451198,164738,129558,50768,178583,136214,254682,466438,299410,76236,214428,323690,396436,376425,49367,354129,18884,474678,408245,445483,52796
None,202109,31148,353781,490293,467505,439045,474473,417103,437149,143753,207939,395587,402722,223228,419001,204618,181212,76748,436105,349669,173688,26330,408117
None,163528,153203,343808,331170,57361,344384,168704,204793,97764,350091,112760,303126,350512,50795,354380,126297,262005,288487,447668,53679,240383,294006,468968
None,278540,314775,21201,453537,243578,302388,171289,40472,232991,462582,334,179075,247931,138336,64570,105123,368236,88426,177762,345658,345099,326133,77982
None,3396,378196,153627,442212,296576,271721,1862,139247,121654,456589,240777,458597,145332,482549,331770,230762,173235,162146,54210,189621,111163,10039,316425
None,230656,464481,363225,140073,488529,498229,229921,406739,195104,125057,85049,260461,356355,47177,38137,370170,434563,322917,77627,81743,453191,98304,374017
None,291437,106440,161176,118142,226814,12839,373376,492489,472366,411112,441789,40348,266243,325659,335050,267662,237443,298051,239358,235380,313984,447703,141696
None,174168,389033,23994,149930,218065,120037,300910,344041,212733,467645,483893,446899,22670,314562,174038,201407,429995,356947,447165,67499,174331,2982,122393
None,190061,437053,280748,182036,118280,472741,364419,344836,22363,71905,341793,86656,147845,155526,248585,378028,240775,159364,70087,244878,51558,495252,301140
None,471195,226479,430400,453169,437854,475697,83857,286574,84513,214421,439030,420241,370927,420556,51017,346739,444402,341145,357138,150760,422366,17135,258653
None,180648,172877,22954,70112,450567,322350,33811,119765,36664,78635,131423,51613,459175,40946,400684,95839,90396,118741,276355,65201,373606,243324,23601
None,290277,135968,416615,435900,473084,188468,64616,33778,75383,129870,421122,271083,455359,354230,311822,3076,137133,101483,181905,144344,422590,47688,78606
None,17519,179095,157805,410581,103834,416352,446125,13823,340874,206046,135762,211359,232142,205153,28148,208537,448354,61840,345647,357312,444409,316236,432733
None,224163,392176,466791,139839,155136,29688,97208,99974,5910,112875,258616,148497,175196,174637,23464,432043,415441,424052,238514,17905,64896,392708,22957
None,223873,101655,465997,217937,118477,10530,44214,411556,98821,46112,283674,210955,333474,358542,192011,483793,110167,149819,393154,25979,140516,428227,481697
None,219256,204348,420254,474535,314359,203643,80129,28141,368478,107121,266924,79028,441616,377745,157180,11846,403392,187518,289740,490515,475693,370328,29665
None,116234,233675,448702,393253,233527,133050,316940,419463,232907,147890,282472,266093,64850,423816,294974,21703,88764,402572,67113,345146,234120,102547,167344
None,341669,216426,33331,240517,131265,69548,45004,191261,441523,449561,46012,416179,264322,17602,173291,103869,497780,66873,67296,410250,101722,416619,414170
None,453742,49614,411120,216374,194846,320035,136622,57018,82533,316256,268653,384290,468775,259121,170845,333402,385178,354814,389132,732,219633,213373,457204
None,364706,262918,473684,279281,403835,117814,466727,170469,141173,165595,450608,72389,325085,49583,477562,283538,483347,110079,245554,140133,374453,112186,351121
None,491882,432514,57769,479460,307504,78834,248988,202951,176303,241443,47174,135640,383094,47719,434407,38639,2204,24860,152462,286854,316429,137223,25517
None,7691,456031,140764,304566,211085,150435,466161,7931,80087,356854,213133,299602,485627,330500,106464,9410,293319,476330,333498,456754,133581,195988,252334
None,25867,295905,335361,60960,38859,342290,91747,115450,380583,15010,447327,244517,61465,270357,247733,294947,48510,440990,486048,270526,103635,13650,92247
None,75432,197319,440508,200788,397670,481975,337002,117157,480840,266206,443847,407819,112397,151834,444191,303401,186833,233665,277704,340457,348168,141739,121273
None,126154,10825,316253,291262,70719,398129,141274,331496,305338,324604,387619,168374,183294,6619,153874,439273,470049,377903,44232,238626,239122,352277,489619
None,164965,201605,489189,39079,414355,202108,360618,374552,128956,398349,347419,188897,75182,101540,498387,199640,387663,361371,366976,464543,151246,56766,348081
None,369601,187410,375523,101415,157594,408940,199272,406297,473806,73964,312296,273218,215149,37773,327226,328338,453043,13441,55332,89005,453157,111647,87960
None,417186,495139,1089,413824,181938,281810,211799,460489,226775,114270,371706,358740,420882,36085,84309,150327,290539,26587,457081,225011,459286,43738,157365
None,183832,442264,109614,226516,480483,330814,143371,94062,178764,175566,438360,362658,360870,49941,57853,10349,356300,180680,351040,289948,30144,325586,30547
None,447073,378369,294757,242253,450826,156897,351083,156163,20106,478371,166825,446323,298251,485055,406035,131028,251758,208706,98610,209108,352789,332823,498871
None,158735,400226,28145,430688,72535,480077,253890,78816,286991,265993,475770,23807,370971,414804,414734,231171,275329,169399,445944,412403,111849,415202,378265
None,79610,333138,400519,389270,240779,105528,447448,110927,182134,315826,129162,279954,46424,71641,45436,374675,258149,406288,90855,25813,264979,270133,204825
None,407482,274353,283417,98838,331926,338357,262446,209336,190183,209256,254554,51128,315600,446066,60667,319323,177374,221809,331938,250669,255019,48230,59291
None,57833,354722,433403,436526,250952,429742,20762,196474,178600,197359,337567,396738,294333,384456,412447,314150,403621,430249,193924,27828,184339,221948,354174
None,404292,105977,350203,63658,362387,333071,186937,294558,81473,218173,133414,179139,97824,469551,94050,177122,451639,141780,462957,366020,227341,496911,264089
None,273816,264394,278704,153724,148567,10744,419397,331528,237917,441830,276688,58402,367753,181978,100035,452506,101317,855,51203,220322,133116,440540,166386
None,296484,267332,60654,70066,162759,215501,382575,421646,14017,421161,384873,161496,290686,95948,483840,477152,65195,124032,483881,110677,291095,115528,198095
None,71197,102184,117572,416498,155480,136438,413074,324987,122622,437854,261857,445866,160453,495858,114755,190277,395006,181866,467335,460111,337158,32549,123566
None,359692,223192,9398,7998,319890,213467,483243,123762,77643,466302,158052,139027,174177,48313,358589,342750,179542,157784,249854,253038,479062,236168,177205
None,228124,263377,102160,161619,408504,15918,234256,6052,76784,445675,34837,194785,217806,227027,177778,314050,125378,55286,94165,399216,155765,317685,457933
None,97934,473537,62268,395322,354216,51293,392565,330120,253197,489490,346687,363964,463462,120899,33282,466380,157895,241349,39972,16744,322762,465403,484430
None,73633,307449,218550,251450,350080,82897,216073,249215,259761,498859,402733,266387,482870,351205,12596,331814,336235,210720,17651,322284,352317,258377,351698
None,462699,162969,207605,145531,133820,69495,472705,419878,66158,197956,271004,312965,455522,9304,164425,171843,88785,12802,294486,49957,137103,467578,48227
None,392521,72533,125624,345163,126096,110713,189513,481512,388383,425895,471589,138580,215916,375740,163623,116247,234299,50132,357660,172760,448612,138254,23350
None,197197,479835,471150,280073,98862,407265,187030,221987,128015,47180,451390,27486,297306,93611,457992,68654,83481,338492,246274,250472,132435,208011,213793
None,463304,450710,286032,202003,440018,121093,360917,217821,8021,291585,390451,13994,495228,459438,394438,106573,86954,485984,305658,107330,56783,47506,90496
None,463679,350792,384148,353350,368494,197027,165384,347900,248948,331180,235203,289243,67038,149036,416357,177034,379233,430806,232120,251061,276567,40787,435904
None,16046,174115,55914,118361,121690,225747,318103,155688,54928,445508,2153,110122,381548,408593,229929,85402,416901,8506,405069,385082,264781,169600,115105
None,111792,183107,271339,45382,298778,68470,230877,361807,411691,225106,33935,64801,447656,364651,393565,414716,153289,217554,246152,440412,362043,127739,93082
None,148361,161615,287379,391535,381809,492971,465100,180984,109032,204523,161210,399362,366047,142933,288506,170942,375043,105178,156202,479543,74547,119342,125787
None,409399,444692,164775,135956,105940,307367,265081,298599,296783,252599,363854,178898,469597,10019,118362,196918,155762,31375,325793,394809,444864,169161,221267
None,452306,493023,228792,141739,254286,12555,230050,356865,327564,285511,124900,331409,144780,73940,249767,412537,381373,280202,53449,93074,131518,22451,369073
None,163326,53475,95380,435496,219546,101069,87603,284507,160323,45404,94866,289399,41848,65346,231959,219464,297177,498749,31881,440918,202638,247343,435742
None,81360,224013,295814,239054,179904,385576,207746,318659,304053,468396,164778,307679,4730,218168,173874,78567,237217,432290,355669,317329,494373,1564,63412
None,395299,83532,125068,279013,2017,281938,442352,82755,218423,65197,182672,245747,136488,221783,58081,41664,415056,376811,365950,436094,318193,386697,428154
None,136767,227977,228561,293742,266015,252619,475956,772,330168,480740,192268,325766,167624,458393,269955,140062,398427,438325,407533,266286,402872,229553,240141
None,403219,408812,137120,466883,366008,429659,432077,271719,269363,140618,270658,177150,72809,12639,83577,59793,28135,326452,138195,380474,464994,250392,305354
None,494386,79278,172779,12944,156660,388737,440296,130734,254868,131444,452652,478492,83295,19278,21747,210132,78536,391888,324675,90325,45313,177123,492768
None,31434,212010,151816,430979,488823,213697,320714,360285,477633,472097,109020,385269,192828,23503,370682,347250,245353,423923,465836,71987,363435,119316,13425
None,453671,28410,161824,145110,290502,49936,214706,474359,95614,181457,31587,258185,387756,334393,424464,267721,20396,484934,457813,228385,65254,238607,113026
None,113457,289047,23390,64795,208357,184692,266785,380573,395448,201108,105476,266566,352715,492245,120236,324454,382368,184564,400553,181365,343783,356591,476669
None,227710,388428,400173,499794,150229,27536,49387,404062,1762,334739,327286,478986,405635,27478,320379,266727,228016,343622,434079,346646,469604,276351,362823
None,334194,328268,402370,405962,290181,126558,31576,114429,263816,430433,274252,237290,423991,430187,271879,484981,461268,278789,426761,41022,217486,192801,183907
None,404200,411908,432103,232966,248840,457856,214923,469197,246059,158879,486242,281883,64898,168552,460715,384385,113581,306442,154017,287239,185776,479362,378967
None,107506,214778,419652,346566,305274,216318,43878,424863,330743,62450,413659,305215,291454,287363,295650,113308,465175,251242,458515,112088,366959,273429,452995
None,128373,450124,311248,95529,1672,453500,236718,443651,84385,416664,21945,475747,204532,114263,443053,171532,94177,195882,100936,410006,365867,356251,51127
None,35433,135752,110633,327142,186430,319130,434752,190692,195682,250773,94863,321286,112916,266163,34142,190406,109260,119004,279971,1545,85664,284721,225751
None,453977,215661,213346,265442,5958,97771,113427,129925,272574,314259,474137,305401,292462,259751,465263,475640,378555,371916,468367,196224,359432,117701,175213
None,29652,94277,1202,146671,259374,158967,160715,458595,217309,219247,434460,452460,344044,321609,95403,465545,49555,30974,162307,455823,389751,471445,397152
None,325555,321514,110381,369752,466632,342641,213596,244376,50114,480850,379970,381808,370687,127907,123573,446026,193371,40278,141475,48771,181108,433613,293368
None,78994,180919,378589,326795,220148,460667,15282,107710,356563,317831,272205,461868,353204,438744,441580,307237,142951,235635,358150,423974,77779,302979,377671
None,95941,448957,417359,185786,195251,460760,312522,310853,343002,145182,120727,294126,369617,186750,466219,40590,156137,101291,200641,272434,32017,323973,334808
None,455904,452019,164694,425808,170529,372304,364687,316703,232609,4355,204148,411108,311303,426375,420204,285859,463595,366048,181460,93747,938,441294,99926
None,62024,265852,20772,124206,103196,423689,172344,41873,214547,285611,302568,81570,461258,246683,373338,402877,404151,261392,9536,219010,124532,61840,192469
None,48767,347169,258965,158164,31503,328642,295678,236176,374258,371618,53463,291211,95321,199288,395218,167991,446496,461925,21829,252990,150127,127747,74120
None,386832,443211,209898,234918,17892,116512,246660,44292,430348,128018,468585,499520,313670,76758,130728,327511,311129,394638,117734,422166,58262,20388,82972
None,481475,85325,123210,350909,300713,283268,8628,165882,374709,56652,31403,397162,1319,59457,66642,67432,468717,113159,349482,188581,170579,254983,287605
None,215413,373656,122278,121587,410065,346348,25246,106480,21417,303326,428175,399177,41416,483065,232095,60158,45431,12912,292073,50106,471623,381524,475007
None,273343,146752,190251,496491,142878,415023,443737,314818,471885,284263,447450,453471,469453,5601,74795,378064,83704,178820,376376,263448,418156,488889,472084
None,229763,34409,155765,216294,161965,70503,432889,98638,279461,491353,459385,230289,346331,315302,484543,372315,404241,28610,25162,299752,440707,467316,430739
None,176556,228688,440182,67698,427433,259638,44049,395372,301142,198633,71720,3309,304546,490525,265671,267994,444181,312489,438842,424147,272976,36638,175213
None,333242,13949,343107,286282,383852,325783,32490,318124,486679,453072,464115,299277,485787,249275,337666,20847,248472,490495,415004,447317,141644,19477,447564
None,37821,451732,67196,287941,487141,218709,223748,215381,366061,499492,270157,201945,194957,14531,98752,154379,133975,13810,493387,35341,459681,304847,44854
None,276309,125656,133358,467586,169662,5403,302930,242662,419563,346402,129929,431549,245315,174460,67328,156649,69727,425930,325365,124923,7836,17826,233463
None,322429,2578,427620,306645,291427,320618,447087,99255,23637,189200,300293,328990,472189,267419,498737,68321,289960,22506,237077,467065,221585,403394,259348
None,250665,2782,461619,496655,94325,269797,493139,64259,267250,334972,202253,67806,407071,394167,468575,120124,404918,264812,492781,85220,410316,241400,356513
